BIEN;CÓDIGO INSTITUCIONAL;CÓDIGO SENESCYT;CLASE DE BIEN;MODELO ;SERIE;MARCA;ESTADO;UBICACIÓN;RESPONSABLE INSTITUCIONAL;NRO. DE ACTA ENTREGA DE RECEPCION;OBSERVACIONES;NRO. DE ACTA DE CONSTATACIÓN FÍSICA;VALOR;COLOR;MATERIAL
MONITOR;INT-LAB1-M0011.01;N/A;EQUIPO DE COMPUTO;0;603ntbk2w629;LG;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACIÓN GRADUADOS SISTEMAS NOV 2024;0;680;0;0
MONITOR;INT-LAB-EC-M027.1;N/A;EQUIPO DE COMPUTO;COMARIZEN717001190077;KALLPA-AM370R1700;ARI;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACIÓN GADIP REGISTRADO EN SENESCYT;0;250;0;0
MONITOR;INT-LAB-EC-M028.1;N/A;EQUIPO DE COMPUTO;COMARIZEN7170001190073;KALLPA-AM370R1700;ARI;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACIÓN GADIP REGISTRADO EN SENESCYT;0;250;0;0
MONITOR;INT-LAB-EC-M029.1;N/A;EQUIPO DE COMPUTO;COMARIZEN7170001190073;KALLPA-AM370R1700;ARI;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACIÓN GADIP REGISTRADO EN SENESCYT;0;250;0;0
MONITOR;INT-LAB-EC-M030.1;N/A;EQUIPO DE COMPUTO;COMARIZEN7170001190071;KALLPA-AM370R1700;ARI;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACIÓN GADIP REGISTRADO EN SENESCYT;0;700;0;0
MONITOR;INT-LAB-EC-M031.1;N/A;EQUIPO DE COMPUTO;COMARIZEN7170001190075;KALLPA-AM370R1700;ARI;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACIÓN GADIP REGISTRADO EN SENESCYT;0;250;0;0
MONITOR;INT-LAB-EC-M032.1;N/A;EQUIPO DE COMPUTO;COMARIZEN7170001190074;KALLPA-AM370R1700;ARI;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACIÓN GADIP REGISTRADO EN SENESCYT;0;250;0;0
MONITOR;INT-LAB-EC-M033.1;N/A;EQUIPO DE COMPUTO;COMARIZEN7170001190076;KALLPA-AM370R1700;ARI;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACIÓN GADIP REGISTRADO EN SENESCYT;0;250;0;0
MONITOR;INT-LAB-EC-M035.1;N/A;EQUIPO DE COMPUTO;COMARIZEN71700011968;KALLPA-AM370R1700;ARI;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACIÓN GADIP REGISTRADO EN SENESCYT;0;250;0;0
MONITOR;INT-LAB-EC-M036.1;N/A;EQUIPO DE COMPUTO;COMARIZEN7170001190069;KALLPA-AM370R1700;ARI;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACIÓN GADIP REGISTRADO EN SENESCYT;0;250;0;0
MONITOR;INT-LAB-EC-M039.1;N/A;EQUIPO DE COMPUTO;20MK400H-B;N/A;"LG 19""5";BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONADO POR ESTUDIANTES GRADUADOS EN MARZO 2020 REGISTRADO EN SENESCYT;0;N/A;0;0
MONITOR;INT-LAB-EM-EC-M052.1;N/A;EQUIPO DE COMPUTO;20MK400H-B;910NTDV47314;"LG 19""5";BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONADO POR ESTUDIANTES GRADUADOS EN MARZO 2020 REGISTRADO EN SENESCYT;0;N/A;0;0
MONITOR;INT-LAB-EC-M053.1;N/A;EQUIPO DE COMPUTO;20MK400H-B;N/A;"LG 19""5";BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONADO POR ESTUDIANTES GRADUADOS EN MARZO 2020 REGISTRADO EN SENESCYT afuera;0;N/A;0;0
MONITOR;INT-LAB-EC-M054.1;N/A;EQUIPO DE COMPUTO;20MK400H-B;N/A;"LG 19""5";BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONADO POR ESTUDIANTES GRADUADOS EN MARZO 2020 REGISTRADO EN SENESCYT;0;N/A;0;0
MONITOR;INT-LAB-EC-M055.1;N/A;EQUIPO DE COMPUTO;20MK400H-B;N/A;"LG 19""5";BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONADO POR ESTUDIANTES GRADUADOS EN MARZO 2020 REGISTRADO EN SENESCYT;0;N/A;0;0
MONITOR;INT-LAB-EC-M056.1;N/A;EQUIPO DE COMPUTO;20MK400H-B;N/A;"LG 19""5";BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONADO POR ESTUDIANTES GRADUADOS EN MARZO 2020 REGISTRADO EN SENESCYT;0;N/A;0;0
MONITOR;INT-SG-EC-M0732.04;N/A;EQUIPO DE COMPUTO;N/A;N/A;LG;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
MONITOR;INT-SG-EC-M0736.04;N/A;EQUIPO DE COMPUTO;N/A;N/A;LG;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
MONITOR;INT-SG-EC-M0740.04;N/A;EQUIPO DE COMPUTO;N/A;N/A;LG;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
MONITOR;INT-SG-EC-M0744.04;N/A;EQUIPO DE COMPUTO;N/A;N/A;LG;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
MONITOR;INT-AE-EC-M0752.04;N/A;EQUIPO DE COMPUTO;N/A;N/A;LG;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT ;0;N/A;0;0
MONITOR;INT-AS-EC-M0756-04;N/A;EQUIPO DE COMPUTO;N/A;N/A;LG;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
MONITOR;INT-AD-EC-M0760-04;N/A;EQUIPO DE COMPUTO;N/A;N/A;LG;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
MONITOR;INT-SD2-EC-M0764-04;N/A;EQUIPO DE COMPUTO;N/A;N/A;LG;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
MONITOR;INT-SD1-EC-M0776-04;N/A;EQUIPO DE COMPUTO;N/A;N/A;LG;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
MONITOR;INT-SD1-EC-M0780-04;N/A;EQUIPO DE COMPUTO;N/A;N/A;LG;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
MONITOR;INT-SD1-EC-M0784-04;N/A;EQUIPO DE COMPUTO;N/A;N/A;LG;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
